BSPlotNumber,SampleYear,_,ACMA_1,ACMA_2,ARCsp_2,ARME_1,ARME_2,ARME_3,ARME_4,ARME_6,ARME_7,CEOL_2,LIDE_,LIDE_1,LIDE_2,LIDE_3,LIDE_4,LIDE_5,LIDE_6,LIDE_7,PIPO_1,PIPO_2,PIPO_3,PIPO_4,PIPO_5,PIPO_6,PIPO_7,PSME_,PSME_1,PSME_2,PSME_3,PSME_6,PSME_7,QUAG_,QUAG_1,QUAG_2,QUAG_3,QUAG_4,QUAG_5,QUAG_6,QUAG_7,QUCH_1,QUCH_2,QUCH_3,QUCH_4,QUCH_6,QUCH_7,QUERsp_2,QUERsp_4,QUERsp_5,QUERsp_6,QUKE_1,QUKE_2,QUKE_3,QUKE_6,QUKE_7,QULO_1,QUPA_,QUPA_1,QUPA_2,QUPA_3,QUPA_4,QUPA_5,QUPA_6,QUPA_7,SESE_,SESE_1,SESE_2,SESE_3,SESE_4,SESE_6,SESE_7,UMCA_,UMCA_1,UMCA_2,UMCA_3,UMCA_4,UMCA_5,UMCA_6,UMCA_7,XXsp_
BS002,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS002,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS002,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS002,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.670235156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS016,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309920079,0.176862916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00867865,0,0,0
BS016,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191842612,0,0.296868725,0.176862916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00867865,0,0,0
BS020,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.638534519,0,0,0,0,0,0,0,0,0,0,0,0,0.029452431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS020,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.638534519,0,0,0,0,0,0,0,0,0,0,0,0.029452431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS020,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160132789,1.108673859,0,0,0,0,0,0,0,0,0,0,0,0.029452431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS020,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701134522,0.638534519,0,0,0,0,0,0,0,0,0,0,0.029452431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
